排序,名称,得分,推荐语,详情的网址
73,阿凡达,8.8,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
74,拯救大兵瑞恩,9.1,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
75,功夫,8.9,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
76,小鞋子,9.2,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
77,飞越疯人院,9.1,自由万岁。,https://movie.douban.com/subject/1292224/
78,沉默的羔羊,8.9,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
79,布达佩斯大饭店,8.9,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
80,哈利·波特与阿兹卡班的囚徒,9.0,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/
81,蝴蝶效应,8.9,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
82,禁闭岛,8.9,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
83,致命魔术,8.9,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
84,心灵捕手,9.0,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
85,超脱,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
86,低俗小说,8.9,故事的高级讲法。,https://movie.douban.com/subject/1291832/
87,摩登时代,9.3,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
88,喜剧之王,8.8,我是一个演员。,https://movie.douban.com/subject/1302425/
89,春光乍泄,9.0,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
90,海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
91,致命ID,8.9,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
92,杀人回忆,8.9,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
93,美国往事,9.1,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
94,哈利·波特与密室,8.9,魔法的密室之门已打开...,https://movie.douban.com/subject/1296996/
95,红辣椒,9.1,梦的勾结。,https://movie.douban.com/subject/1865703/
96,一一,9.1,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
97,加勒比海盗,8.8,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
98,七宗罪,8.8,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
99,唐伯虎点秋香,8.7,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
100,狩猎,9.1,人言可畏。,https://movie.douban.com/subject/6985810/
